date,variable,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,cty
2020-02-24,R,NA,estimate,2.236729764444024,2.237239313854055,0.19832964016031152,1.897019029083547,2.1118355440777097,2.187991760943882,2.289304099688503,2.3722968919952634,2.559217617949669,Switzerland
2020-02-25,R,NA,estimate,2.3860167817163243,2.385396685857131,0.21351106958364122,2.0160655097372646,2.249457643009915,2.334137086235997,2.4406891828469033,2.534396787599673,2.73046966831168,Switzerland
2020-02-26,R,NA,estimate,2.3554491355114067,2.352860556789989,0.21495604406002172,1.9762118195553935,2.216324669288044,2.3016474457610823,2.413062236523002,2.5040248666918083,2.693969253249542,Switzerland
2020-02-27,R,NA,estimate,2.324796183056419,2.318340331449023,0.21223827564312242,1.9442367375264558,2.186082505009931,2.2677599549506,2.3800587383354257,2.466810643129969,2.6504393235257355,Switzerland
2020-02-28,R,NA,estimate,2.205654568098282,2.2010234959664112,0.19995233117227632,1.8508178258937957,2.0761122841426607,2.1540247852652374,2.2595280969084888,2.33960256371798,2.5164100501282443,Switzerland
2020-02-29,R,NA,estimate,2.0230887690064394,2.0182691987673564,0.17888467965513222,1.708541268160012,1.9040965417844955,1.9781194590491724,2.069267389845395,2.1404826309634535,2.3010227175099063,Switzerland
2020-03-01,R,NA,estimate,2.3871713878087704,2.3790069976586263,0.2012918534026485,2.0361955342562292,2.2475456245220666,2.3352989145991008,2.434836122140045,2.516183916195676,2.696225134705049,Switzerland
2020-03-02,R,NA,estimate,2.446266182909766,2.437153228519664,0.21313680433609217,2.0774344115187757,2.2990146565229206,2.39603920685108,2.4942839088712088,2.5815666731404416,2.7736549412683695,Switzerland
2020-03-03,R,NA,estimate,2.410446891272043,2.3978668220201573,0.21534310913454047,2.030010680583193,2.257988573206836,2.3547828338092094,2.4592055048792023,2.5460230693615875,2.7311912606367605,Switzerland
2020-03-04,R,NA,estimate,2.1915662746002758,2.182211158460223,0.19790202012272384,1.8393423859402835,2.0552369279888567,2.1426746170180966,2.2401092337386577,2.3180419636699865,2.490474396803882,Switzerland
2020-03-05,R,NA,estimate,2.1273054223951573,2.119929991335305,0.1875106926889404,1.794567665477182,1.99904657404356,2.0818193464438144,2.175467086180459,2.2484973222648637,2.415572178231474,Switzerland
2020-03-06,R,NA,estimate,1.9526773236317847,1.9461354542203615,0.1682221388270362,1.6549242096164691,1.8373627970015165,1.9130628468211777,1.9921101892605209,2.0613786507211382,2.2169340964792807,Switzerland
2020-03-07,R,NA,estimate,1.8041808058102191,1.7989466337128186,0.14872197367321138,1.5438394755023552,1.7012179821999118,1.7693019166248178,1.8383398656499552,1.9024109214058367,2.0433063098100015,Switzerland
2020-03-08,R,NA,estimate,1.8471505450834047,1.8438753533895174,0.14366676987882657,1.5984567483425487,1.7485633117227777,1.8142982449137084,1.8813577873110097,1.9427867050032217,2.080033794059744,Switzerland
