date,variable,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,cty
2020-05-01,R,NA,estimate,1.5452923043048217,1.544209568942365,0.10033590395787348,1.3790378776392775,1.47533365731231,1.517768093209304,1.5724626591551005,1.6112899264753715,1.7062885055757588,Tajikistan
2020-05-02,R,NA,estimate,1.4326670166252877,1.431430882203379,0.08723573156364672,1.288495335847522,1.3718091318369012,1.4085606344427586,1.4563878900869445,1.491180234058987,1.5715192477477666,Tajikistan
2020-05-03,R,NA,estimate,1.6106765240323369,1.6096643544811642,0.08954508880621637,1.4630801445282204,1.5479886156220823,1.5868035263936926,1.6344596603309351,1.6706465649340707,1.7543249093495694,Tajikistan
2020-05-04,R,NA,estimate,1.545050828893182,1.5415137638649703,0.08648983686799255,1.3984151557906765,1.4826757095374319,1.5193940159627517,1.5659063996882396,1.6006997307831135,1.6806952964461679,Tajikistan
2020-05-05,R,NA,estimate,1.457915165800159,1.45412560463723,0.07949543154300873,1.3216771060068382,1.399969836860842,1.4350688187504683,1.4774242606695052,1.5085913711751289,1.5809040582778586,Tajikistan
2020-05-06,R,NA,estimate,1.406368643982013,1.4029062819813192,0.07232005346614587,1.2816089884226776,1.3533638792085072,1.3864852809099246,1.4236335617643494,1.452503012252651,1.5186300653405873,Tajikistan
2020-05-07,R,NA,estimate,1.375228406039562,1.3721244945054563,0.06609422534505315,1.2611462827234305,1.32661463491702,1.3578633604103811,1.3909671125453487,1.417502723558049,1.477692565872594,Tajikistan
2020-05-08,R,NA,estimate,1.357140343082849,1.3546208481046826,0.06181285895352974,1.2521265397871795,1.3116800407784646,1.3421460936378944,1.3728524668030868,1.3970417384736107,1.4539380880731565,Tajikistan
2020-05-09,R,NA,estimate,1.3308487111084077,1.3283755511594415,0.057756877061421984,1.2322579527974813,1.2882242041345162,1.3161177447438632,1.3455902935177013,1.367971859575651,1.4218652231176567,Tajikistan
2020-05-10,R,NA,estimate,1.2935519850552355,1.2912315335780657,0.0533211418103544,1.2021690157657745,1.2534960679496299,1.280245859660445,1.3070534324845466,1.327698993121058,1.3770943610259285,Tajikistan
2020-05-11,R,NA,estimate,1.2576778890295894,1.2560732637231538,0.04869165432176321,1.1758798280452827,1.2219850923235254,1.2455573103690394,1.2710501988023193,1.289796322782062,1.335145707972699,Tajikistan
2020-05-12,R,NA,estimate,1.1811523681037184,1.1792554184354425,0.042507764910166626,1.1094843396749767,1.1495550095566711,1.1705259541073163,1.19141986226317,1.2084368368140839,1.2476892447284222,Tajikistan
2020-05-13,R,NA,estimate,1.1158347056626963,1.1146416633240406,0.035629408743671806,1.0571532155763224,1.0894295033688932,1.1068252085397965,1.1244019599601192,1.1388615332064298,1.1730185327223226,Tajikistan
2020-05-14,R,NA,estimate,1.1278897647505728,1.127956956655501,0.030894108492799353,1.0788570095823433,1.105636193422503,1.1203100372365837,1.1360671102141708,1.1482806978764568,1.1796267791748731,Tajikistan
2020-05-15,R,NA,estimate,1.060821611622806,1.0612657804220753,0.02630137450640463,1.0188028265259368,1.0424188316332588,1.0539577277159295,1.0678287166959937,1.0782011225378723,1.1058782187511842,Tajikistan
2020-05-16,R,NA,estimate,1.0515777873605037,1.0524884967683432,0.022213470696830825,1.0180444424521142,1.0370586414441088,1.0461210905777112,1.0570194062549239,1.0665684893545997,1.0908211343967835,Tajikistan
2020-05-17,R,NA,estimate,0.9109165131240244,0.9118627532641252,0.016943890316660375,0.8860289605407007,0.9002387732147379,0.9069774307562088,0.9148934748465196,0.9226061053260364,0.9418015517811843,Tajikistan
2020-05-18,R,NA,estimate,0.8805970606399105,0.8816047731119517,0.013186891171281212,0.8616037896107966,0.8731646034955831,0.8779517675271412,0.8836226548467472,0.8892848192430749,0.9043782133741555,Tajikistan
2020-05-19,R,NA,estimate,0.8612087558729058,0.8616383000099723,0.01323130461152414,0.840521368772612,0.8535380034251553,0.8581239177801604,0.8645186776377591,0.8694172379453016,0.8831221353088626,Tajikistan
2020-05-20,R,NA,estimate,0.8431097773321488,0.8435207323277583,0.015313274972344587,0.8188169319441166,0.8339684004392531,0.8397964695939664,0.8467318887118487,0.8529869130248787,0.8688764977425577,Tajikistan
2020-05-21,R,NA,estimate,0.8196656134679445,0.8202125005673034,0.017849468537025535,0.7916012087524741,0.8084243185579636,0.8152226936656315,0.8240934575776032,0.8312024354233876,0.8507085322784584,Tajikistan
2020-05-22,R,NA,estimate,0.81074878909271,0.8115087634834961,0.020917775577428414,0.7783995866625345,0.7977761905058247,0.805543678874904,0.8159374386267595,0.8244174989665558,0.8456222862723175,Tajikistan
2020-05-23,R,NA,estimate,0.7939739961024069,0.795005523063508,0.023243648533698875,0.7589601835607388,0.7793798577359431,0.7885012504431868,0.799889214687764,0.809509979850584,0.8340513453324165,Tajikistan
