date,variable,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,cty
2020-07-17,R,NA,estimate,1.0070504867636896,1.0073423984689012,0.010291884334463324,0.9910401753797511,1.0036634055137503,1.006174064727845,1.0078530185980252,1.010528352746464,1.0227824422610832,Latvia
2020-07-18,R,NA,estimate,1.0065050803828597,1.0068297059703384,0.010150712294041018,0.9911601056328714,1.0030685724916286,1.005460022250648,1.0073784647458006,1.010104269695228,1.0225343513371756,Latvia
2020-07-19,R,NA,estimate,1.005981358089989,1.0064875718733566,0.010036296712763954,0.9911536093552009,1.0023928528319546,1.0048716052389048,1.0071523283273267,1.009911896706293,1.022969291527432,Latvia
2020-07-20,R,NA,estimate,1.2571101799496698,1.2578135329710523,0.01243753554304029,1.2384669295246495,1.2526077520266152,1.2555903963891697,1.2587947785350624,1.262277968321548,1.2786663148098807,Latvia
2020-07-21,R,NA,estimate,1.420583367150213,1.4194726965291828,0.02142037220732412,1.383098967576335,1.4066287888323117,1.415597733827928,1.4255489437977031,1.4326789459895406,1.4528953594549634,Latvia
2020-07-22,R,NA,estimate,1.2891204097103488,1.2851156382764755,0.03197805229922506,1.2272795264193388,1.2662186404699292,1.2805444142381464,1.2962207247885844,1.3070261349554408,1.332566199473123,Latvia
2020-07-23,R,NA,estimate,1.204023833125628,1.2001559930046521,0.033146138980094095,1.140731242410442,1.1798726779085307,1.1948694461156961,1.2116384493006207,1.223097879433613,1.2507320768188648,Latvia
2020-07-24,R,NA,estimate,1.1454767526244964,1.1423536538942947,0.030214866110582373,1.0885290251016013,1.123154742981862,1.1367516200014929,1.1523616482173682,1.1632850752405195,1.188840742624347,Latvia
2020-07-25,R,NA,estimate,1.1042295020590713,1.1022496188000748,0.026303957937736808,1.056055629865787,1.0852161504536608,1.0970329590237577,1.1108409528266985,1.120368713854847,1.142707213234389,Latvia
2020-07-26,R,NA,estimate,1.0756503706220455,1.0745130995896441,0.02281121185182989,1.0351940861131597,1.0595117330601018,1.0695462216827194,1.0815257215236507,1.090056541169157,1.1101361347327194,Latvia
2020-07-27,R,NA,estimate,1.054850799471983,1.0543527732510956,0.019577542910859388,1.0216376075027935,1.04121770540741,1.050053407314318,1.060187071130722,1.0675594042712406,1.0854803541744458,Latvia
2020-07-28,R,NA,estimate,1.0395584427920508,1.039485387508283,0.016806803854378997,1.0125202884422735,1.0281914150089102,1.035635430106864,1.0441893434054628,1.0505076040090204,1.066489627783095,Latvia
2020-07-29,R,NA,estimate,1.0284421980662235,1.0283951358631165,0.014578843366376808,1.0056697251622873,1.018742473344,1.0249640972732963,1.0321127623455266,1.0376168317875827,1.0517232249177408,Latvia
2020-07-30,R,NA,estimate,1.0200884053460602,1.0200457244017784,0.012901560506215748,1.000584122964971,1.0119177120764524,1.016895640254398,1.0230366581107537,1.0276174555232205,1.0403035827359204,Latvia
2020-07-31,R,NA,estimate,1.0135538423194843,1.0137127565279418,0.011728692719707584,0.9960006350618154,1.0071707273918928,1.011143513218344,1.0162129436011529,1.0200267986562155,1.031379024237707,Latvia
2020-08-01,R,NA,estimate,1.0088191733273772,1.0088812492695725,0.010970514559900335,0.9922817507199064,1.003726160065837,1.0068858870608746,1.010738478311827,1.0142045759320455,1.0255093939551765,Latvia
2020-08-02,R,NA,estimate,1.0053164050700243,1.0051803616475319,0.010513188484429219,0.9890631866826616,1.0010702217270722,1.003839542620816,1.006881064718542,1.0096380870648618,1.0207215886225716,Latvia
2020-08-03,R,NA,estimate,0.8355198012219711,0.8352837307408844,0.00853795799562416,0.8210959902759488,0.8325780524934056,0.8346146932559786,0.8365780177039036,0.8383221553874165,0.8483673267057404,Latvia
